date,actual_price,forecast_price
2025-10-01,24500,24592.342
2025-10-02,24500,24677.867
2025-10-03,24500,24738.205
2025-10-06,24500,24782.14
2025-10-07,24500,24817.639
2025-10-08,24500,24848.674
2025-10-09,24500,24877.447
2025-10-10,24500,24905.018
2025-10-13,24500,24931.748
2025-10-14,24500,24957.707
2025-10-15,24500,24982.982
2025-10-16,24500,25007.82
2025-10-17,24500,25031.053
2025-10-20,24500,25052.51
2025-10-21,24500,25072.385
2025-10-22,24500,25090.824
2025-10-23,24500,25107.928
2025-10-24,25500,25123.797
2025-10-27,25750,25138.531
2025-10-28,25750,25152.219
2025-10-29,25750,25164.938
2025-10-30,25750,25176.756
