date,actual_price,forecast_price
2025-10-01,24500,25235.783
2025-10-02,24500,26008.621
2025-10-03,24500,26703.105
2025-10-06,24500,27329.816
2025-10-07,24500,27918.174
2025-10-08,24500,28476.51
2025-10-09,24500,29008.807
2025-10-10,24500,29517.152
2025-10-13,24500,30001.844
2025-10-14,24500,30461.926
2025-10-15,24500,30895.781
2025-10-16,24500,31301.586
2025-10-17,24500,31677.635
2025-10-20,24500,32022.629
2025-10-21,24500,32335.803
2025-10-22,24500,32617.04
2025-10-23,24500,32866.87
2025-10-24,25500,33086.434
2025-10-27,25750,33277.367
2025-10-28,25750,33441.71
2025-10-29,25750,33581.76
2025-10-30,25750,33699.957
