date,actual_price,forecast_price
2025-10-01,13700,13576.561
2025-10-02,13700,13478.613
2025-10-03,13700,13347.792
2025-10-06,13700,13215.915
2025-10-07,13700,13093.56
2025-10-08,13700,12982.902
2025-10-09,13700,12882.9375
2025-10-10,13700,12791.768
2025-10-13,13700,12707.574
2025-10-14,13700,12628.922
2025-10-15,13700,12554.752
2025-10-16,13700,12484.3125
2025-10-17,13700,12417.114
2025-10-20,13700,12352.823
2025-10-21,13700,12291.254
2025-10-22,13700,12232.254
2025-10-23,13700,12175.704
2025-10-24,13750,12121.48
2025-10-27,13700,12069.464
2025-10-28,13700,12019.539
2025-10-29,13700,11971.588
2025-10-30,13700,11925.501
