mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,target_hari_8
univariate,train,Daging Ayam,7,0,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045
univariate,train,Daging Ayam,7,1,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045
univariate,train,Daging Ayam,7,2,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045
univariate,train,Daging Ayam,7,3,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045
univariate,train,Daging Ayam,7,4,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045
univariate,train,Daging Ayam,7,5,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045
univariate,train,Daging Ayam,7,6,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045
univariate,train,Daging Ayam,7,7,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045
univariate,train,Daging Ayam,7,8,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045
univariate,train,Daging Ayam,7,9,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045
univariate,train,Daging Ayam,7,10,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.22033898305084731
univariate,train,Daging Ayam,7,11,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,12,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,13,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,14,0.35593220338983045,0.35593220338983045,0.35593220338983045,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,15,0.35593220338983045,0.35593220338983045,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,16,0.35593220338983045,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,17,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,18,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,19,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,20,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,21,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,22,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,23,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,24,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,25,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,26,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,27,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,28,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
univariate,train,Daging Ayam,7,29,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731,0.22033898305084731
