komoditas,W7-U32,W7-U64,W14-U32,W14-U64,W30-U32,W30-U64
Beras,0.4342431274349526,0.1493938171953152,1.1658408797361546,0.9615070914457328,1.0914185500611675,0.5637382312045249
Daging Ayam,0.9386576171454116,0.4525197238663972,0.5048916563002307,0.4424618839512398,0.4979745301600887,0.4008160592402935
Daging Sapi,0.2630251963225839,0.3151106376373657,0.4228064781746523,0.2191722660246856,0.1048129185714359,0.1063360418262145
Telur Ayam,0.6664961183039328,0.4659234585036058,0.4571245597420744,0.4477796198166558,0.5323145988049114,0.9665092650047884
Bawang Merah,2.2728471834536026,1.6844878356003952,1.2046656895353662,1.150714178711629,1.279315193716157,1.3032528349464625
Cabai Merah,2.1747055584799875,1.7226972430256746,2.1168134313996707,1.944886751070397,1.3482202178968965,1.4497418556050012
Cabai Rawit,3.806652823788375,3.442419299814266,3.062680041075087,2.86675832553984,2.672043092149176,2.562763036679005
Minyak Goreng,1.0760069657388216,0.3455065424466889,0.6324586416799792,0.1464133083480904,0.645555304339132,0.4559043631386015
Gula Pasir,0.2888850250263405,0.5473926854410007,0.6857146499933713,1.351555158949509,1.2908155929288812,0.3204417070401171
