date,actual_price,forecast_price
2025-10-01,24500,24444.54
2025-10-02,24500,24386.35
2025-10-03,24500,24330.947
2025-10-06,24500,24278.262
2025-10-07,24500,24226.902
2025-10-08,24500,24176.873
2025-10-09,24500,24128.047
2025-10-10,24500,24080.41
2025-10-13,24500,24033.936
2025-10-14,24500,23988.586
2025-10-15,24500,23944.336
2025-10-16,24500,23901.15
2025-10-17,24500,23858.998
2025-10-20,24500,23817.855
2025-10-21,24500,23777.691
2025-10-22,24500,23738.479
2025-10-23,24500,23700.188
2025-10-24,25500,23662.8
2025-10-27,25750,23626.29
2025-10-28,25750,23590.63
2025-10-29,25750,23555.8
2025-10-30,25750,23521.78
