mode,komoditas,window,units,epochs,batch_size,test_MAE,test_RMSE,test_MAPE,forecast_MAPE_Okt2025
univariate,Telur Ayam,7,32,150,32,160.33708428899112,344.07683767808885,0.6664961183039328,5.246614491240676
univariate,Telur Ayam,7,64,150,32,112.66212729357828,334.56692453613493,0.46592345850360584,3.29026090446253
univariate,Telur Ayam,14,32,150,32,110.43670393957342,337.6049620801374,0.45712455974207444,2.497124013439339
univariate,Telur Ayam,14,64,150,32,108.25426725414661,339.4352204566546,0.44777961981665587,2.3481208457971214
univariate,Telur Ayam,30,32,150,32,127.60967548076961,304.0170960251784,0.5323145988049114,4.025088548560476
univariate,Telur Ayam,30,64,150,32,232.6176582532055,342.51995026541044,0.9665092650047885,8.467860920015548
