date,actual_price,forecast_price
2025-10-01,13000,13003.233
2025-10-02,13000,12992.401
2025-10-03,13000,12980.894
2025-10-06,13000,12970.749
2025-10-07,13000,12962.97
2025-10-08,13000,12957.612
2025-10-09,13000,12954.386
2025-10-10,13000,12952.868
2025-10-13,13000,12952.636
2025-10-14,13000,12953.322
2025-10-15,13000,12954.629
2025-10-16,13000,12956.328
2025-10-17,13000,12958.256
2025-10-20,13000,12960.299
2025-10-21,13000,12962.38
2025-10-22,13000,12964.45
2025-10-23,13000,12966.479
2025-10-24,13000,12968.448
2025-10-27,13000,12970.35
2025-10-28,13000,12972.178
2025-10-29,13000,12973.934
2025-10-30,13000,12975.616
