date,actual_price,forecast_price
2025-10-01,13000,13013.406
2025-10-02,13000,13009.017
2025-10-03,13000,13004.264
2025-10-06,13000,12999.142
2025-10-07,13000,12993.499
2025-10-08,13000,12988.827
2025-10-09,13000,12984.488
2025-10-10,13000,12980.428
2025-10-13,13000,12976.529
2025-10-14,13000,12972.818
2025-10-15,13000,12969.286
2025-10-16,13000,12965.925
2025-10-17,13000,12962.731
2025-10-20,13000,12959.696
2025-10-21,13000,12956.8125
2025-10-22,13000,12954.07
2025-10-23,13000,12951.464
2025-10-24,13000,12948.984
2025-10-27,13000,12946.63
2025-10-28,13000,12944.389
2025-10-29,13000,12942.26
2025-10-30,13000,12940.234
