mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,target_hari_8
univariate,train,Cabai Merah,7,0,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058
univariate,train,Cabai Merah,7,1,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058
univariate,train,Cabai Merah,7,2,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058
univariate,train,Cabai Merah,7,3,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058
univariate,train,Cabai Merah,7,4,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058
univariate,train,Cabai Merah,7,5,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058
univariate,train,Cabai Merah,7,6,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058
univariate,train,Cabai Merah,7,7,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058
univariate,train,Cabai Merah,7,8,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058
univariate,train,Cabai Merah,7,9,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058
univariate,train,Cabai Merah,7,10,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.6045197740112995
univariate,train,Cabai Merah,7,11,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,12,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,13,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,14,0.2532956685499058,0.2532956685499058,0.2532956685499058,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,15,0.2532956685499058,0.2532956685499058,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,16,0.2532956685499058,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,17,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,18,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,19,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,20,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,21,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,22,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,23,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,24,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,25,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,26,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,27,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,28,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
univariate,train,Cabai Merah,7,29,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995,0.6045197740112995
