date,actual_price,forecast_price
2025-10-01,120550,118816.6
2025-10-02,120550,118538.664
2025-10-03,120550,118210.516
2025-10-06,120550,117825.375
2025-10-07,120550,117395.41
2025-10-08,120550,117010.77
2025-10-09,120550,116635.58
2025-10-10,120550,116280.8
2025-10-13,120550,115971.93
2025-10-14,120550,115671.77
2025-10-15,120550,115384.06
2025-10-16,120550,115111.17
2025-10-17,120550,114853.69
2025-10-20,120550,114610.125
2025-10-21,120550,114379.7
2025-10-22,120550,114161.38
2025-10-23,120550,113954.016
2025-10-24,120700,113757.27
2025-10-27,120450,113570.66
2025-10-28,120450,113393.6
2025-10-29,120450,113225.55
2025-10-30,120450,113066.0
