date,actual_price,forecast_price
2025-10-01,36500,36570.98
2025-10-02,36500,36486.28
2025-10-03,36500,36251.04
2025-10-06,36500,35951.945
2025-10-07,36500,35647.234
2025-10-08,36500,35369.848
2025-10-09,36500,35133.78
2025-10-10,36500,34940.75
2025-10-13,36500,34785.742
2025-10-14,36500,34660.824
2025-10-15,36500,34557.246
2025-10-16,36500,34466.76
2025-10-17,36500,34381.207
2025-10-20,36500,34297.484
2025-10-21,36500,34212.63
2025-10-22,36500,34125.312
2025-10-23,36500,34035.508
2025-10-24,35900,33943.867
2025-10-27,34750,33851.34
2025-10-28,34750,33758.906
2025-10-29,34750,33667.418
2025-10-30,34750,33577.508
