mode,komoditas,window,units,epochs,batch_size,test_MAE,test_RMSE,test_MAPE,forecast_MAPE_Okt2025
multivariate,Beras,7,32,150,32,409.7084333787271,431.44754424413696,3.1667912670919742,12.249805868061276
multivariate,Beras,7,64,150,32,429.8883000645069,446.51837617533835,3.3258112974730714,14.473987968541497
multivariate,Beras,14,32,150,32,346.9402029028436,369.25921024501935,2.6773901278763454,12.469413995332713
multivariate,Beras,14,64,150,32,172.039803021327,196.51657363736814,1.3248699195498805,8.44071598519736
multivariate,Beras,30,32,150,32,393.8128605769231,410.1024641860501,3.0375142988882122,13.940840158322912
multivariate,Beras,30,64,150,32,279.2136518429487,302.36895548236834,2.1492655273433257,11.397331624993567
