date,actual_price,forecast_price
2025-10-01,13700,13386.365
2025-10-02,13700,13240.902
2025-10-03,13700,13093.718
2025-10-06,13700,12968.826
2025-10-07,13700,12863.869
2025-10-08,13700,12774.639
2025-10-09,13700,12697.479
2025-10-10,13700,12629.679
2025-10-13,13700,12569.316
2025-10-14,13700,12515.033
2025-10-15,13700,12465.8545
2025-10-16,13700,12421.071
2025-10-17,13700,12379.608
2025-10-20,13700,12341.376
2025-10-21,13700,12306.015
2025-10-22,13700,12273.346
2025-10-23,13700,12243.108
2025-10-24,13750,12215.105
2025-10-27,13700,12189.148
2025-10-28,13700,12165.062
2025-10-29,13700,12142.689
2025-10-30,13700,12121.891
