mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,hari_8,hari_9,hari_10,hari_11,hari_12,hari_13,hari_14,target_hari_15
univariate,train,Bawang Merah,14,0,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506
univariate,train,Bawang Merah,14,1,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506
univariate,train,Bawang Merah,14,2,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506
univariate,train,Bawang Merah,14,3,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867
univariate,train,Bawang Merah,14,4,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,5,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,6,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,7,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,8,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,9,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,10,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,11,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,12,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,13,0.572289156626506,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,14,0.572289156626506,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,15,0.572289156626506,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,16,0.572289156626506,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
univariate,train,Bawang Merah,14,17,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867,0.2409638554216867
