date,actual_price,forecast_price
2025-10-01,120550,120103.6
2025-10-02,120550,119922.66
2025-10-03,120550,119713.16
2025-10-06,120550,119489.27
2025-10-07,120550,119260.65
2025-10-08,120550,119033.26
2025-10-09,120550,118810.54
2025-10-10,120550,118594.21
2025-10-13,120550,118384.97
2025-10-14,120550,118182.84
2025-10-15,120550,117987.555
2025-10-16,120550,117798.68
2025-10-17,120550,117615.9
2025-10-20,120550,117438.6
2025-10-21,120550,117266.34
2025-10-22,120550,117100.02
2025-10-23,120550,116938.66
2025-10-24,120700,116782.05
2025-10-27,120450,116630.01
2025-10-28,120450,116482.35
2025-10-29,120450,116338.91
2025-10-30,120450,116199.51
