date,actual_price,forecast_price
2025-10-01,23500,23568.07
2025-10-02,23500,23371.14
2025-10-03,23500,23110.945
2025-10-06,23500,22792.848
2025-10-07,23500,22457.848
2025-10-08,23500,22118.053
2025-10-09,23500,21777.219
2025-10-10,23500,21438.24
2025-10-13,23500,21103.2
2025-10-14,23500,20773.482
2025-10-15,23500,20450.02
2025-10-16,23500,20133.545
2025-10-17,23500,19826.268
2025-10-20,23500,19527.857
2025-10-21,23500,19237.682
2025-10-22,23500,18955.457
2025-10-23,23500,18681.086
2025-10-24,26250,18414.465
2025-10-27,26650,18155.477
2025-10-28,26650,17904.004
2025-10-29,26650,17659.918
2025-10-30,26650,17423.092
