date,actual_price,forecast_price
2025-10-01,14150,14116.1045
2025-10-02,14150,14094.286
2025-10-03,14150,14070.911
2025-10-06,14150,14046.858
2025-10-07,14150,14022.699
2025-10-08,14150,13998.205
2025-10-09,14150,13973.99
2025-10-10,14150,13950.185
2025-10-13,14150,13926.534
2025-10-14,14150,13903.199
2025-10-15,14150,13880.188
2025-10-16,14150,13857.507
2025-10-17,14150,13835.158
2025-10-20,14150,13813.142
2025-10-21,14150,13791.456
2025-10-22,14150,13770.103
2025-10-23,14150,13749.077
2025-10-24,14250,13728.377
2025-10-27,14250,13707.997
2025-10-28,14250,13687.936
2025-10-29,14250,13668.1875
2025-10-30,14250,13648.749
