mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,target_hari_8
univariate,train,Daging Sapi,7,0,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234
univariate,train,Daging Sapi,7,1,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234
univariate,train,Daging Sapi,7,2,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234
univariate,train,Daging Sapi,7,3,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234
univariate,train,Daging Sapi,7,4,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234
univariate,train,Daging Sapi,7,5,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234
univariate,train,Daging Sapi,7,6,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234
univariate,train,Daging Sapi,7,7,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234
univariate,train,Daging Sapi,7,8,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234
univariate,train,Daging Sapi,7,9,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234
univariate,train,Daging Sapi,7,10,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.009732360097323145
univariate,train,Daging Sapi,7,11,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,12,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,13,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,14,0.03406326034063234,0.03406326034063234,0.03406326034063234,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,15,0.03406326034063234,0.03406326034063234,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,16,0.03406326034063234,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,17,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,18,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,19,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,20,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,21,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,22,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,23,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,24,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,25,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,26,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,27,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,28,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
univariate,train,Daging Sapi,7,29,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145,0.009732360097323145
