date,actual_price,forecast_price
2025-10-01,23500,23547.797
2025-10-02,23500,23551.846
2025-10-03,23500,23545.863
2025-10-06,23500,23544.361
2025-10-07,23500,23553.453
2025-10-08,23500,23573.988
2025-10-09,23500,23604.74
2025-10-10,23500,23643.795
2025-10-13,23500,23689.184
2025-10-14,23500,23739.207
2025-10-15,23500,23792.562
2025-10-16,23500,23848.041
2025-10-17,23500,23903.697
2025-10-20,23500,23959.361
2025-10-21,23500,24015.008
2025-10-22,23500,24070.582
2025-10-23,23500,24125.982
2025-10-24,26250,24181.123
2025-10-27,26650,24235.928
2025-10-28,26650,24290.338
2025-10-29,26650,24344.312
2025-10-30,26650,24397.828
