date,actual_price,forecast_price
2025-10-01,23500,23444.3
2025-10-02,23500,23310.344
2025-10-03,23500,23208.83
2025-10-06,23500,23117.21
2025-10-07,23500,23030.096
2025-10-08,23500,22946.14
2025-10-09,23500,22865.758
2025-10-10,23500,22789.89
2025-10-13,23500,22719.334
2025-10-14,23500,22654.516
2025-10-15,23500,22595.482
2025-10-16,23500,22541.992
2025-10-17,23500,22493.598
2025-10-20,23500,22449.76
2025-10-21,23500,22409.898
2025-10-22,23500,22373.451
2025-10-23,23500,22339.898
2025-10-24,26250,22308.771
2025-10-27,26650,22279.678
2025-10-28,26650,22252.271
2025-10-29,26650,22226.28
2025-10-30,26650,22201.469
