mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,target_hari_8
univariate,train,Beras,7,55,0.375,0.375,0.375,0.375,0.375,0.359375,0.359375,0.359375
univariate,train,Beras,7,56,0.375,0.375,0.375,0.375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,57,0.375,0.375,0.375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,58,0.375,0.375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,59,0.375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,60,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,61,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,62,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,63,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,64,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,65,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,66,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,67,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,68,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,69,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,70,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,71,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
univariate,train,Beras,7,72,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375,0.359375
