date,actual_price,forecast_price
2025-10-01,31650,31036.824
2025-10-02,31650,30434.922
2025-10-03,31650,29945.186
2025-10-06,31650,29485.635
2025-10-07,31650,29031.703
2025-10-08,31650,28594.512
2025-10-09,31650,28178.857
2025-10-10,31650,27789.465
2025-10-13,31650,27428.768
2025-10-14,31650,27097.354
2025-10-15,31650,26794.7
2025-10-16,31650,26519.61
2025-10-17,31650,26274.031
2025-10-20,31650,26054.373
2025-10-21,31650,25857.344
2025-10-22,31650,25680.414
2025-10-23,31650,25521.438
2025-10-24,34600,25378.543
2025-10-27,31900,25250.08
2025-10-28,31900,25134.57
2025-10-29,31900,25030.686
2025-10-30,31900,24937.232
