mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,hari_8,hari_9,hari_10,hari_11,hari_12,hari_13,hari_14,target_hari_15
univariate,train,Cabai Rawit,14,0,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,14,1,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,14,2,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487
univariate,train,Cabai Rawit,14,3,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036
univariate,train,Cabai Rawit,14,4,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,5,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,6,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,7,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,8,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,9,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,10,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,11,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,12,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,13,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,14,0.22477064220183487,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,15,0.22477064220183487,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
univariate,train,Cabai Rawit,14,16,0.22477064220183487,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036,0.5394495412844036
