mode,subset,target,window_size,window_ke,hari_1_Beras,hari_1_Daging Ayam,hari_1_Daging Sapi,hari_1_Telur Ayam,hari_1_Bawang Merah,hari_1_Cabai Merah,hari_1_Cabai Rawit,hari_1_Minyak Goreng,hari_1_Gula Pasir,hari_2_Beras,hari_2_Daging Ayam,hari_2_Daging Sapi,hari_2_Telur Ayam,hari_2_Bawang Merah,hari_2_Cabai Merah,hari_2_Cabai Rawit,hari_2_Minyak Goreng,hari_2_Gula Pasir,hari_3_Beras,hari_3_Daging Ayam,hari_3_Daging Sapi,hari_3_Telur Ayam,hari_3_Bawang Merah,hari_3_Cabai Merah,hari_3_Cabai Rawit,hari_3_Minyak Goreng,hari_3_Gula Pasir,hari_4_Beras,hari_4_Daging Ayam,hari_4_Daging Sapi,hari_4_Telur Ayam,hari_4_Bawang Merah,hari_4_Cabai Merah,hari_4_Cabai Rawit,hari_4_Minyak Goreng,hari_4_Gula Pasir,hari_5_Beras,hari_5_Daging Ayam,hari_5_Daging Sapi,hari_5_Telur Ayam,hari_5_Bawang Merah,hari_5_Cabai Merah,hari_5_Cabai Rawit,hari_5_Minyak Goreng,hari_5_Gula Pasir,hari_6_Beras,hari_6_Daging Ayam,hari_6_Daging Sapi,hari_6_Telur Ayam,hari_6_Bawang Merah,hari_6_Cabai Merah,hari_6_Cabai Rawit,hari_6_Minyak Goreng,hari_6_Gula Pasir,hari_7_Beras,hari_7_Daging Ayam,hari_7_Daging Sapi,hari_7_Telur Ayam,hari_7_Bawang Merah,hari_7_Cabai Merah,hari_7_Cabai Rawit,hari_7_Minyak Goreng,hari_7_Gula Pasir,target_hari_8
multivariate,train,Cabai Rawit,7,0,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.22477064220183487
multivariate,train,Cabai Rawit,7,1,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.22477064220183487
multivariate,train,Cabai Rawit,7,2,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.22477064220183487
multivariate,train,Cabai Rawit,7,3,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.22477064220183487
multivariate,train,Cabai Rawit,7,4,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.22477064220183487
multivariate,train,Cabai Rawit,7,5,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.22477064220183487
multivariate,train,Cabai Rawit,7,6,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.22477064220183487
multivariate,train,Cabai Rawit,7,7,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.22477064220183487
multivariate,train,Cabai Rawit,7,8,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.22477064220183487
multivariate,train,Cabai Rawit,7,9,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.25,0.35593220338983045,0.03406326034063234,0.5367965367965368,0.572289156626506,0.2532956685499058,0.22477064220183487,0.12621359223300965,0.2857142857142858,0.22477064220183487
