mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,hari_8,hari_9,hari_10,hari_11,hari_12,hari_13,hari_14,hari_15,hari_16,hari_17,hari_18,hari_19,hari_20,hari_21,hari_22,hari_23,hari_24,hari_25,hari_26,hari_27,hari_28,hari_29,hari_30,target_hari_31
univariate,train,Cabai Rawit,30,403,0.16055045871559634,0.16055045871559634,0.16055045871559634,0.19633027522935778,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,404,0.16055045871559634,0.16055045871559634,0.19633027522935778,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,405,0.16055045871559634,0.19633027522935778,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,406,0.19633027522935778,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,407,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,408,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,409,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,410,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,411,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,412,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,413,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
univariate,train,Cabai Rawit,30,414,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2724770642201835,0.2844036697247706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
