mode,subset,komoditas,window_size,window_ke,hari_1,hari_2,hari_3,hari_4,hari_5,hari_6,hari_7,hari_8,hari_9,hari_10,hari_11,hari_12,hari_13,hari_14,target_hari_15
univariate,train,Gula Pasir,14,0,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858
univariate,train,Gula Pasir,14,1,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858
univariate,train,Gula Pasir,14,2,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858
univariate,train,Gula Pasir,14,3,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856
univariate,train,Gula Pasir,14,4,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,5,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,6,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,7,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,8,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,9,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,10,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,11,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,12,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,13,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,14,0.2857142857142858,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,15,0.2857142857142858,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
univariate,train,Gula Pasir,14,16,0.2857142857142858,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856,0.4107142857142856
