date,actual_price,forecast_price
2025-10-01,13000,12879.491
2025-10-02,13000,12813.96
2025-10-03,13000,12734.552
2025-10-06,13000,12647.424
2025-10-07,13000,12556.677
2025-10-08,13000,12465.302
2025-10-09,13000,12375.426
2025-10-10,13000,12288.582
2025-10-13,13000,12202.025
2025-10-14,13000,12118.221
2025-10-15,13000,12037.16
2025-10-16,13000,11958.848
2025-10-17,13000,11883.278
2025-10-20,13000,11810.437
2025-10-21,13000,11740.311
2025-10-22,13000,11672.885
2025-10-23,13000,11608.018
2025-10-24,13000,11545.63
2025-10-27,13000,11485.629
2025-10-28,13000,11427.914
2025-10-29,13000,11372.386
2025-10-30,13000,11318.944
