date,actual_price,forecast_price
2025-10-01,21150,21439.855
2025-10-02,21150,21676.893
2025-10-03,21150,21960.852
2025-10-06,21150,22266.084
2025-10-07,21150,22568.72
2025-10-08,21150,22865.27
2025-10-09,21150,23154.244
2025-10-10,21150,23435.256
2025-10-13,21150,23708.658
2025-10-14,21150,23975.049
2025-10-15,21150,24235.055
2025-10-16,21150,24489.236
2025-10-17,21150,24738.096
2025-10-20,21150,24982.033
2025-10-21,21150,25221.383
2025-10-22,21150,25456.408
2025-10-23,21150,25687.33
2025-10-24,17800,25914.324
2025-10-27,14850,26137.547
2025-10-28,14850,26357.13
2025-10-29,14850,26573.195
2025-10-30,14850,26785.855
