mode,komoditas,window,units,epochs,batch_size,test_MAE,test_RMSE,test_MAPE,forecast_MAPE_Okt2025
multivariate,Daging Ayam,7,32,150,32,240.62071745986333,447.7447263447839,0.7673359626706963,1.406449655377186
multivariate,Daging Ayam,7,64,150,32,259.6526931622716,440.7376069475714,0.805586338740461,5.3824932396621605
multivariate,Daging Ayam,14,32,150,32,321.5682482968019,544.2172138530427,1.0369186868737204,4.479315406983191
multivariate,Daging Ayam,14,64,150,32,315.250722008294,481.75077642745674,1.0059916173296646,1.3827665276309202
multivariate,Daging Ayam,30,32,150,32,573.6825520833336,788.6389228870938,1.854832703499016,4.861307835087326
multivariate,Daging Ayam,30,64,150,32,721.6266125801285,836.4187632855113,2.2914454375445046,5.47984196429629
