date,actual_price,forecast_price
2025-10-01,36500,36284.566
2025-10-02,36500,36302.516
2025-10-03,36500,36309.402
2025-10-06,36500,36286.4
2025-10-07,36500,36230.758
2025-10-08,36500,36192.215
2025-10-09,36500,36157.848
2025-10-10,36500,36126.555
2025-10-13,36500,36096.023
2025-10-14,36500,36067.082
2025-10-15,36500,36040.027
2025-10-16,36500,36014.836
2025-10-17,36500,35991.17
2025-10-20,36500,35968.953
2025-10-21,36500,35948.098
2025-10-22,36500,35928.523
2025-10-23,36500,35910.152
2025-10-24,35900,35892.9
2025-10-27,34750,35876.7
2025-10-28,34750,35861.484
2025-10-29,34750,35847.195
2025-10-30,34750,35833.77
