date,actual_price,forecast_price
2025-10-01,36500,35975.57
2025-10-02,36500,35630.395
2025-10-03,36500,35358.42
2025-10-06,36500,35153.57
2025-10-07,36500,34981.39
2025-10-08,36500,34817.504
2025-10-09,36500,34660.33
2025-10-10,36500,34508.164
2025-10-13,36500,34364.84
2025-10-14,36500,34230.633
2025-10-15,36500,34105.336
2025-10-16,36500,33988.066
2025-10-17,36500,33877.94
2025-10-20,36500,33774.293
2025-10-21,36500,33676.594
2025-10-22,36500,33584.438
2025-10-23,36500,33497.46
2025-10-24,35900,33415.316
2025-10-27,34750,33337.69
2025-10-28,34750,33264.273
2025-10-29,34750,33194.79
2025-10-30,34750,33128.99
