date,actual_price,forecast_price
2025-10-01,21150,21352.24
2025-10-02,21150,21476.832
2025-10-03,21150,21584.633
2025-10-06,21150,21686.375
2025-10-07,21150,21786.576
2025-10-08,21150,21884.799
2025-10-09,21150,21978.984
2025-10-10,21150,22067.264
2025-10-13,21150,22148.521
2025-10-14,21150,22222.422
2025-10-15,21150,22289.22
2025-10-16,21150,22349.531
2025-10-17,21150,22404.145
2025-10-20,21150,22453.879
2025-10-21,21150,22499.506
2025-10-22,21150,22541.717
2025-10-23,21150,22581.09
2025-10-24,17800,22618.113
2025-10-27,14850,22653.188
2025-10-28,14850,22686.63
2025-10-29,14850,22718.705
2025-10-30,14850,22749.623
