date,actual_price,forecast_price
2025-10-01,21150,21895.6
2025-10-02,21150,22515.549
2025-10-03,21150,23134.531
2025-10-06,21150,23749.984
2025-10-07,21150,24364.307
2025-10-08,21150,24983.549
2025-10-09,21150,25605.057
2025-10-10,21150,26227.814
2025-10-13,21150,26851.754
2025-10-14,21150,27476.473
2025-10-15,21150,28101.566
2025-10-16,21150,28726.617
2025-10-17,21150,29351.197
2025-10-20,21150,29974.867
2025-10-21,21150,30597.19
2025-10-22,21150,31217.713
2025-10-23,21150,31835.99
2025-10-24,17800,32451.572
2025-10-27,14850,33064.0
2025-10-28,14850,33672.82
2025-10-29,14850,34277.574
2025-10-30,14850,34877.816
