date,actual_price,forecast_price
2025-10-01,14150,13981.83
2025-10-02,14150,13856.685
2025-10-03,14150,13762.706
2025-10-06,14150,13699.215
2025-10-07,14150,13651.989
2025-10-08,14150,13613.931
2025-10-09,14150,13581.553
2025-10-10,14150,13552.875
2025-10-13,14150,13526.714
2025-10-14,14150,13502.361
2025-10-15,14150,13479.374
2025-10-16,14150,13457.475
2025-10-17,14150,13436.483
2025-10-20,14150,13416.283
2025-10-21,14150,13396.798
2025-10-22,14150,13377.981
2025-10-23,14150,13359.801
2025-10-24,14250,13342.237
2025-10-27,14250,13325.272
2025-10-28,14250,13308.897
2025-10-29,14250,13293.1
2025-10-30,14250,13277.866
