date,actual_price,forecast_price
2025-10-01,14150,14237.554
2025-10-02,14150,14335.937
2025-10-03,14150,14446.714
2025-10-06,14150,14561.202
2025-10-07,14150,14675.759
2025-10-08,14150,14784.616
2025-10-09,14150,14890.072
2025-10-10,14150,14992.195
2025-10-13,14150,15090.909
2025-10-14,14150,15186.134
2025-10-15,14150,15277.739
2025-10-16,14150,15365.614
2025-10-17,14150,15449.678
2025-10-20,14150,15529.89
2025-10-21,14150,15606.234
2025-10-22,14150,15678.726
2025-10-23,14150,15747.4
2025-10-24,14250,15812.3125
2025-10-27,14250,15873.539
2025-10-28,14250,15931.171
2025-10-29,14250,15985.315
2025-10-30,14250,16036.088
