date,actual_price,forecast_price
2025-10-01,31650,31728.363
2025-10-02,31650,31699.346
2025-10-03,31650,31716.979
2025-10-06,31650,31745.656
2025-10-07,31650,31768.158
2025-10-08,31650,31780.766
2025-10-09,31650,31786.0
2025-10-10,31650,31787.285
2025-10-13,31650,31786.658
2025-10-14,31650,31784.408
2025-10-15,31650,31779.55
2025-10-16,31650,31770.479
2025-10-17,31650,31755.531
2025-10-20,31650,31733.338
2025-10-21,31650,31703.008
2025-10-22,31650,31664.172
2025-10-23,31650,31616.932
2025-10-24,34600,31561.771
2025-10-27,31900,31499.438
2025-10-28,31900,31430.84
2025-10-29,31900,31356.95
2025-10-30,31900,31278.748
